subbasn,ret_final,ar_sqkm,mean_discharge_m3y
252.0,0.962789407674075,313991.5102,3.8709476e+09
253.0,0.948162841125097,240030.818,8.293501e+08
254.0,0.996076244298381,232655.7676,1.04879686e+09
255.0,0.99976359672422,132680.9959,1.5829559e+10
256.0,0.955068535228848,132786.2315,8.397606e+08
257.0,0.996032334084744,405556.9596,6.5451085e+08
258.0,0.999821876722412,49517.05614,4.837405e+08
259.0,0.900702023552832,69958.06573,8.775149e+08
260.0,0.91807128567728,196212.9424,8.9995014e+08
261.0,0.998735242709668,63057.18564,6.722097e+08
262.0,0.999777618658153,224128.6577,8.2690714e+08
263.0,0.948304873523335,458759.9371,2.351039e+09
264.0,0.93211419525063,233039.8457,2.1031718e+09
265.0,0.969960692218507,166648.1892,1.5278049e+10
266.0,0.592713566365558,163964.0971,2.252382e+09
267.0,0.697289674709875,159209.882,1.3858184e+09
268.0,0.959965608526006,153450.5831,1.4398633e+09
269.0,0.764725119198344,138608.6481,2.2902977e+10
270.0,0.669431288124634,118894.2568,1.6501574e+09
271.0,0.842101861306599,81861.96995,1.6257377e+09
272.0,0.999996697915449,81884.56052,4.2707743e+10
273.0,0.908073193724869,165667.6113,1.054484e+09
274.0,0.729478273320505,227274.0528,8.5391034e+08
275.0,0.967062295661598,158405.9358,1.4926877e+09
276.0,0.927890192400002,146464.8903,1.1383345e+09
277.0,0.877700062644462,98391.15632,2.0454184e+08
278.0,0.952124619447367,93279.74141,1.9641965e+09
279.0,0.901319437721752,34900.77981,4.1536852e+09
280.0,0.998529326835552,1038576.918,1.97403e+09
281.0,0.952803347560485,479120.028,2.1395775e+09
282.0,0.99994816098714,427144.6133,1.3125593e+10
283.0,0.999565945221046,362671.3338,2.6049564e+09
284.0,0.96705467210575,236639.8671,1.2779281e+09
285.0,0.837477195792746,40081.7724,2.6814251e+08
286.0,0.984291345520699,314738.1827,2.2505649e+09
287.0,0.942882851198904,132484.6676,5.7545e+09
288.0,0.984292070529862,113581.9756,4.4723293e+08
289.0,0.979598854850109,106550.4502,1.245956e+09
290.0,0.999966999068502,91273.84798,9.909231e+09
291.0,0.955842105195353,72825.7432,8.360027e+08
292.0,0.861542766073976,670064.4291,8.048183e+08
293.0,0.996719522728811,242283.4145,2.735731e+09
294.0,0.71593710572916,158041.1451,9.97764e+08
295.0,0.471941714023156,156039.5837,1.5791932e+09
296.0,0.915194251427788,155957.5724,7.01007e+08
297.0,0.998766048996934,183322.6896,3.0107732e+07
298.0,0.75,2882.494912,8.930938e+07
299.0,0.75,2882.494912,4.305502e+07
300.0,0.75,2882.494912,4.4321956e+07
301.0,0.75,2882.494912,4.693965e+07
302.0,0.75,2882.494912,4.5049428e+07
303.0,0.8198,5792.368133,7012.801
306.0,0.211749562749264,5783.386773,1.2015482e+08
307.0,0.7836,8684.06152,5.2363525e+06
308.0,0.91568919188063,5783.386773,2.845896e+08
309.0,0.891984022940192,20195.64477,7.902847e+07
310.0,0.773843535303907,5783.386773,3.2475546e+08
311.0,0.6664,2891.693387,
312.0,0.907932049096284,14374.16589,3.626159e+07
313.0,0.815408882387333,8647.268176,2.5623866e+07
314.0,0.826349150886541,63116.11935,7.3417016e+07
317.0,0.6664,2891.693387,4.9715812e+07
318.0,0.75,2891.693387,3.7705676e+07
319.0,0.6664,2891.693387,6.685356e+06
320.0,0.6664,2891.693387,9.735519e+06
321.0,0.75,2900.674746,
322.0,0.6664,2900.674746,2.7652042e+09
323.0,0.8549,20365.63276,1.1800722e+07
324.0,0.75,2900.674746,
325.0,0.979880182054422,64000.22774,6.690764e+08
326.0,0.75,2900.674746,2.1877301e+08
327.0,0.985031437022326,49273.80454,1.3575132e+09
328.0,0.864792849180003,20356.43218,4.964454e+08
329.0,0.75,2900.674746,2.1538062e+06
330.0,0.64367898218678,5792.368133,4.5990764e+07
331.0,0.701709082460648,5792.368133,9.318022e+06
332.0,0.997864181982056,359050.6948,4.684482e+06
333.0,0.999724218576222,11547.94292,6.776002e+07
334.0,0.75,2900.674746,1.1137308e+07
335.0,0.7968,8728.315344,67861.36
337.0,0.75,2909.438448,1.5031913e+09
338.0,0.7968,17532.44633,1.5866728e+07
339.0,0.75,2909.438448,1.5197123e+08
340.0,0.75,2909.438448,1.5631472e+08
341.0,0.90540524366214,20408.57801,7.4513626e+08
342.0,0.984003313790939,5818.876896,1.858512e+08
343.0,0.989030124458648,17465.1762,1.0392268e+07
344.0,0.75,2909.438448,5.0889492e+07
345.0,0.667080594613091,5810.113195,4.408798e+07
346.0,0.75,2909.438448,1.1946805e+07
349.0,0.7968,8753.951891,214864.03
350.0,0.987708852990512,17524.55741,2.3786552e+08
351.0,0.75,5844.294742,1.2501271e+07
353.0,0.782637520535841,8762.278706,1.8349576e+08
354.0,0.61494722870012,5835.967927,1.3863997e+08
355.0,0.488550086119908,8762.278706,5.5029344e+08
356.0,0.670095535755709,5835.967927,5.9263065e+06
357.0,0.752429098234685,11705.02391,3.999691e+08
358.0,0.75,2917.983964,1.7986942e+07
359.0,0.75,5860.729173,2.7951018e+06
360.0,0.7054,8787.039951,2.2897328e+06
