subbasn,ar_sqkm,grd_cells,gen_flux,out_flux,ret_final,method
1121.0,3072.441481,3,1507.1031862999998,1507.1031862999998,0.75,Fixed (Size <= 4 Grids)
1122.0,3072.441481,3,1609.110341579,1609.110341579,0.75,Fixed (Size <= 4 Grids)
1123.0,3072.441481,3,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1124.0,3072.441481,3,35096.33519,35096.33519,0.75,Fixed (Size <= 4 Grids)
1125.0,3072.441481,6,0.0,0.0,0.6664,Size Mean (Size 6)
1126.0,3073.809435,2,581.73125199,581.73125199,0.75,Fixed (Size <= 4 Grids)
1127.0,3073.809435,2,7344.867147706,7344.867147706,0.75,Fixed (Size <= 4 Grids)
1128.0,61281.803,40,1710189.41109973,38448.82833308,0.977517795348554,Calculated
1129.0,15356.96467,14,388748.52972344,2784.28452492,0.992837826224318,Calculated
1130.0,6146.250916,7,109069.0439622,48033.8313491,0.559601610098031,Calculated
1131.0,3073.809435,2,7626.339646511,7626.339646511,0.75,Fixed (Size <= 4 Grids)
1132.0,6146.250916,4,45159.633028823,4940.498581323,0.890599230995306,Calculated
1133.0,9217.096651,10,600963.29077517,24318.83459637,0.959533577225654,Calculated
1134.0,18422.11247,20,459283.927420906,43364.054161746,0.905583340559607,Calculated
1135.0,3073.809435,4,14875.4475151,14875.4475151,0.75,Fixed (Size <= 4 Grids)
1136.0,6148.758951,9,53764.377427916,7830.954324416,0.854346786868029,Calculated
1137.0,24590.01973,19,246369.57470718,7985.11874421,0.967588860135426,Calculated
1138.0,12295.23774,10,36281.018527286,6230.915667113,0.828259626657755,Calculated
1139.0,3073.809435,2,3966.4683478,3966.4683478,0.75,Fixed (Size <= 4 Grids)
1140.0,3073.809435,2,23757.054105255,23757.054105255,0.75,Fixed (Size <= 4 Grids)
1141.0,3073.809435,2,17320.144038557002,17320.144038557002,0.75,Fixed (Size <= 4 Grids)
1142.0,3073.809435,4,34835.596594795,34835.596594795,0.75,Fixed (Size <= 4 Grids)
1143.0,3073.809435,4,23744.6422666,23744.6422666,0.75,Fixed (Size <= 4 Grids)
1144.0,3073.809435,2,41557.0092291,41557.0092291,0.75,Fixed (Size <= 4 Grids)
1145.0,3073.809435,2,18197.0053747,18197.0053747,0.75,Fixed (Size <= 4 Grids)
1146.0,6148.758951,7,56840.991580016,3080.021816816,0.9458133693449,Calculated
1147.0,12300.48227,11,492678.34927081,85786.91582203,0.825876424346637,Calculated
1148.0,3073.809435,4,104804.5258809,104804.5258809,0.75,Fixed (Size <= 4 Grids)
1149.0,6147.61887,4,61096.213687083,14592.997819883,0.761147263648381,Calculated
1150.0,3073.809435,4,12241.218392,12241.218392,0.75,Fixed (Size <= 4 Grids)
1151.0,3073.809435,2,95960.105190604,95960.105190604,0.75,Fixed (Size <= 4 Grids)
1152.0,12296.37782,7,390329.034343441,21980.348351198,0.943687641919412,Calculated
1153.0,3073.809435,2,3305.7479824,3305.7479824,0.75,Fixed (Size <= 4 Grids)
1154.0,3073.809435,4,18622.85984,18622.85984,0.75,Fixed (Size <= 4 Grids)
1155.0,3073.809435,2,10660.6062514,10660.6062514,0.75,Fixed (Size <= 4 Grids)
1156.0,3073.809435,2,21567.487793,21567.487793,0.75,Fixed (Size <= 4 Grids)
1157.0,3073.809435,2,33243.0530675,33243.0530675,0.75,Fixed (Size <= 4 Grids)
1158.0,3073.809435,4,12386.9778756,12386.9778756,0.75,Fixed (Size <= 4 Grids)
1159.0,6147.61887,4,135172.06516321,61119.27120241,0.54784096012284,Calculated
1160.0,3073.809435,2,37653.0561642,37653.0561642,0.75,Fixed (Size <= 4 Grids)
1161.0,6147.61887,6,68013.170297322,49853.644267022,0.267000140574465,Calculated
1162.0,3073.809435,4,26708.95147947,26708.95147947,0.75,Fixed (Size <= 4 Grids)
1163.0,3073.809435,2,26791.12890388,26791.12890388,0.75,Fixed (Size <= 4 Grids)
1164.0,3073.809435,2,3387.6516856,3387.6516856,0.75,Fixed (Size <= 4 Grids)
1165.0,3073.809435,2,1956.7515953,1956.7515953,0.75,Fixed (Size <= 4 Grids)
1166.0,3073.809435,2,2642.000062,2642.000062,0.75,Fixed (Size <= 4 Grids)
1167.0,3073.809435,2,13834.352839,13834.352839,0.75,Fixed (Size <= 4 Grids)
1168.0,6149.899033,4,16512.24128269,8557.085812719999,0.481773208965248,Calculated
1169.0,36913.30486,13,4574301.20995255,521740.25692704006,0.885940992300231,Calculated
1170.0,6148.758951,5,54109.792263644,6059.180817924,0.88802062317295,Calculated
1171.0,3074.949516,6,131.2135365,131.2135365,0.6664,Size Mean (Size 6)
1172.0,6148.758951,6,3868.25280322,628.53287937,0.837515045850468,Calculated
1173.0,3074.949516,6,10053.11094649,10053.11094649,0.6664,Size Mean (Size 6)
1174.0,24602.33285,13,66572.981719532,9784.748101792,,Masked (Endorheic)
1175.0,3074.949516,2,6174.16151516,6174.16151516,0.75,Fixed (Size <= 4 Grids)
1176.0,6150.811177,4,8131.948920888,1492.702495,0.816439760072054,Calculated
1177.0,3074.949516,2,5916.754126,5916.754126,0.75,Fixed (Size <= 4 Grids)
1178.0,3074.949516,2,33288.2819599,33288.2819599,0.75,Fixed (Size <= 4 Grids)
1179.0,3074.949516,2,226278.3179526,226278.3179526,0.75,Fixed (Size <= 4 Grids)
1180.0,73739.96823,34,25732121.82591465,162243.81928680002,0.993694891529567,Calculated
1181.0,6148.758951,3,787616.33817948,722589.69126968,0.08256132301687,Calculated
1182.0,3074.949516,2,55699.32849871,55699.32849871,0.75,Fixed (Size <= 4 Grids)
1183.0,3074.949516,4,152112.846592,152112.846592,0.75,Fixed (Size <= 4 Grids)
1184.0,6150.811177,7,43318.410591494,25963.197595314,0.400642885073624,Calculated
1185.0,3074.949516,2,14370.8733339,14370.8733339,0.75,Fixed (Size <= 4 Grids)
1186.0,3074.949516,2,1550.293509,1550.293509,0.75,Fixed (Size <= 4 Grids)
1187.0,9223.708468,8,574118.41347082,213496.63710832,0.628131353917686,Calculated
1188.0,9225.760693,5,461638.10766255,40123.17219245,0.913085225143979,Calculated
1189.0,3074.949516,4,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1190.0,3074.949516,2,2054.6468093000003,2054.6468093000003,0.75,Fixed (Size <= 4 Grids)
1191.0,3074.949516,2,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1192.0,3074.949516,2,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1193.0,3074.949516,2,3313.822491,3313.822491,0.75,Fixed (Size <= 4 Grids)
1194.0,3074.949516,4,23200.1470576,23200.1470576,0.75,Fixed (Size <= 4 Grids)
1195.0,12304.35893,8,684268.07741425,92222.90862305,0.865224008444838,Calculated
1196.0,9227.356991,3,256649.540069391,47730.967886590995,0.814022780349866,Calculated
1197.0,12298.43005,6,157690.191479278,15757.219274778,0.90007482946808,Calculated
1198.0,3074.949516,2,10151.3783186,10151.3783186,0.75,Fixed (Size <= 4 Grids)
1199.0,3074.949516,4,2543.83942907,2543.83942907,0.75,Fixed (Size <= 4 Grids)
1200.0,6148.758951,5,12165.052257724,4368.245463024,0.640918479388327,Calculated
1201.0,3074.949516,2,6928.59924863,6928.59924863,0.75,Fixed (Size <= 4 Grids)
1202.0,6148.758951,6,8545.38238808,3871.61779848,0.546934517069647,Calculated
1203.0,6148.758951,6,16108.494686507,1498.808554017,0.906955393214212,Calculated
1207.0,3074.949516,2,1330.725760689,1330.725760689,0.75,Fixed (Size <= 4 Grids)
1208.0,3075.861661,4,2138.53374961,2138.53374961,0.75,Fixed (Size <= 4 Grids)
1209.0,18444.45309,11,165685.848455469,26440.045630699,0.840420616020171,Calculated
1210.0,3075.861661,4,2355.63941983,2355.63941983,0.75,Fixed (Size <= 4 Grids)
1211.0,12304.1308,8,55113.927180837,4975.667012237,0.90972033265002,Calculated
1212.0,6152.407475,3,13503.068427059,12920.38506648,0.043151922374277,Calculated
1213.0,3075.861661,2,5246.372796,5246.372796,0.75,Fixed (Size <= 4 Grids)
1214.0,3075.861661,4,3462.50913864,3462.50913864,0.75,Fixed (Size <= 4 Grids)
1215.0,3075.861661,4,14428.442437,14428.442437,0.75,Fixed (Size <= 4 Grids)
