subbasn,data_cov,mask_v1,grid_cells,gen_flux,out_flux,ratio,retention,mask_v2,mask_final,ret_valid,name,river,categry,mouth,ddm30_d,stn30_d,contnnt,sea,seabasn,lon,lat,strahlr,area,ar_sqkm,land_ar,arlndfr,grd_cll,sbbsn_c,t_sbbsn_d,t_sbbsn_c,A_juC1,A_jmT1,A_jmT3,A_jmC1,A_jmC2,A_jdC1,wrld_rg,wrld_r_,mask,to_sea,mask_pnv,ret_final,method,ratio_final
27.0,1.0,0,72,24316528.11878638,41477.625340829,0.001705737971235,0.998294262028764,0,0,0.998294262028764,Brazos,Brazos,individual river,1.0,161.0,135.0,North America,Atlantic Ocean,Mexican Gulf (North),-95.25,28.75,3.0,123118.0,122761.8313,119735.4634,0.975347648,47.0,,,,,,,,,,North_America,North America,0.0,1.0,0,0.998294262028764,Calculated,0.0017057379712359655
28.0,1.0,0,40,1746531.62500111,263783.19900485995,0.151032592384173,0.848967407615827,0,0,0.848967407615827,Bug,Bug,individual river,1.0,248.0,234.0,Europe,Mediterranean Sea,Black Sea (North),31.75,46.75,3.0,63662.0,63713.24752,62976.85755,0.988442122,31.0,,,,,,,,,,Europe,Europe,0.0,1.0,0,0.848967407615827,Calculated,0.151032592384173
29.0,0.999999999999998,0,55,10062439.42739062,1201.55085933,0.000119409499853,0.999880590500147,0,0,0.999880590500147,Burdekin,Burdekin,individual river,1.0,165.0,140.0,Australia,Pacific Ocean,Coral Sea,147.75,-19.75,3.0,132983.0,132320.7154,130704.7705,0.987787665,46.0,,,,,,,,,,Oceania,Oceania,0.0,1.0,0,0.999880590500147,Calculated,0.00011940949985300708
30.0,1.0,0,38,42832836.54370835,98732.58491337,0.002305067627558,0.997694932372442,0,0,0.997694932372442,Cauweri,Cauweri,individual river,1.0,278.0,203.0,Asia,Indian Ocean,Deccan Coast (East),79.75,10.75,2.0,81890.0,81386.82709,80418.30226,0.988099735,27.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.997694932372442,Calculated,0.0023050676275579995
31.0,1.0,0,74,382332273.87605494,131310.288848476,0.000343445473533,0.999656554526467,0,0,0.999656554526467,Chao Phraya,Chao Phraya,individual river,1.0,120.0,126.0,Asia,Pacific Ocean,South China Sea (West),100.75,13.25,3.0,180857.0,179848.1777,176520.0631,0.981494866,61.0,,,,,,,,,,Asia,Asia,0.0,1.0,1,0.999656554526467,Calculated,0.0003434454735330439
32.0,1.0,0,224,274550.514224053,1710.725983136,0.006231006297588,0.993768993702412,0,0,0.993768993702412,Churchill,Churchill,main channel,1.0,56.0,68.0,North America,Arctic Ocean,West Hudson Bay,-94.25,58.75,4.0,306148.0,306932.6153,265921.7107,0.866384664,178.0,jdC,,,0.0,0.0,0.0,0.0,0.0,0.0,North_America,North America,0.0,1.0,0,0.993768993702412,Calculated,0.006231006297587993
33.0,1.0,0,144,2607227.90127264,251475.79273355,0.09645332217057,0.90354667782943,0,0,0.90354667782943,Upper_subbasin,Colorado (Arizona),tributary,0.0,39.0,34.0,North America,Pacific Ocean,California Gulf,-110.75,37.25,4.0,276181.0,275799.7777,275799.7764,0.999999995,115.0,juT1,34.0,jdC,0.0,0.0,0.0,0.0,0.0,0.260379,North_America,North America,0.0,1.0,0,0.90354667782943,Calculated,0.09645332217057001
34.0,1.0,0,103,8971324.150154801,421.549821628,4.6988584357e-05,0.999953011415643,0,0,0.999953011415643,Lower_delta_subbasin,Colorado (Arizona),main channel,1.0,39.0,34.0,North America,Pacific Ocean,California Gulf,-114.75,31.75,5.0,204371.0,203920.31,202648.4892,0.993763148,81.0,jdC,,,0.0,0.0,0.0,0.0,0.0,0.0,North_America,North America,0.0,1.0,1,0.999953011415643,Calculated,4.698858435703279e-05
35.0,1.0,0,74,2664369.655867685,400724.518933062,0.150401247083172,0.849598752916828,0,0,0.849598752916828,Gila_subbasin,Colorado (Arizona),tributary,0.0,39.0,34.0,North America,Pacific Ocean,California Gulf,-114.25,32.75,4.0,155516.0,155096.9595,155096.9595,1.0,60.0,juT2,34.0,jdC,0.0,0.0,0.0,0.0,0.0,0.038433,North_America,North America,0.0,1.0,0,0.849598752916828,Calculated,0.15040124708317204
36.0,1.0,0,59,9858794.828908691,136516.55159249,0.013847184565824,0.986152815434176,0,0,0.986152815434176,Colorado (Texas),Colorado (Texas),individual river,1.0,178.0,141.0,North America,Atlantic Ocean,Mexican Gulf (North),-95.75,28.75,3.0,113613.0,113265.1937,111635.412,0.985610922,43.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,North_America,North America,0.0,1.0,0,0.986152815434176,Calculated,0.013847184565824011
37.0,1.0,0,167,2852870.363625753,9211.01646929,0.003228683850038,0.996771316149962,0,0,0.996771316149962,Snake-subbasin,Columbia,tributary,0.0,30.0,40.0,North America,Pacific Ocean,South Cascadia Basin,-118.25,46.75,3.0,280293.0,280229.2251,279981.0282,0.999114308,126.0,juT2,39.0,jdC,0.0,0.0,0.0,0.0,0.0,0.227683,North_America,North America,0.0,1.0,0,0.996771316149962,Calculated,0.00322868385003805
38.0,1.0,0,174,3888809.5986605,401172.4848072101,0.103160742286121,0.896839257713879,0,0,0.896839257713879,Columbia_subbasin,Columbia,tributary,0.0,30.0,40.0,North America,Pacific Ocean,South Cascadia Basin,-119.25,46.25,4.0,274018.0,274248.5266,271877.9098,0.991355954,134.0,juT1,39.0,jdC,0.0,0.0,0.0,0.0,0.0,0.227683,North_America,North America,0.0,1.0,0,0.896839257713879,Calculated,0.10316074228612104
39.0,1.0,0,61,3193201.025606811,1479.326590566,0.000463273868041,0.999536726131959,0,0,0.999536726131959,Delta_subbasin,Columbia,main channel,1.0,30.0,40.0,North America,Pacific Ocean,South Cascadia Basin,-123.75,46.25,4.0,113613.0,113616.2537,112647.8636,0.991476658,52.0,jdC,,,0.0,0.0,0.0,0.0,0.0,0.0,North_America,North America,0.0,1.0,0,0.999536726131959,Calculated,0.0004632738680410142
40.0,0.999999999999997,0,36,7510518.87850463,46442.13709514,0.006183612323785,0.993816387676215,0,0,0.993816387676215,Comoe,Comoe,individual river,1.0,308.0,197.0,Africa,Atlantic Ocean,Guinea Basin,-3.75,5.25,3.0,76564.0,76074.81842,74835.92777,0.983714839,25.0,,,,,,,,,,Africa,Africa,0.0,1.0,0,0.993816387676215,Calculated,0.006183612323784948
41.0,1.0,0,602,210668119.41717583,852045.477183149,0.004044491779489,0.995955508220511,0,0,0.995955508220511,Lualaba_subbasin,Congo (Zaire),tributary,0.0,6.0,3.0,Africa,Indian Ocean,Angola Basin,18.25,-0.25,4.0,1697583.0,1686454.779,1622709.841,0.96220181,551.0,juT3,44.0,jdC,0.0,0.0,0.0,0.0,0.0,0.214151,Africa,Africa,0.0,1.0,1,0.995955508220511,Calculated,0.004044491779488957
