Unique_ID,Std_Value_m3,Gear_Category,Natural Discharge Upstream,Land Surface Runoff Local,Lake Volume Upstream,Reservoir Volume Upstream,River Area Local,River Area Upstream,River Volume Local,River Volume Upstream,Elevation Local,Elevation Upstream,Terrain Slope Local,Terrain Slope Upstream,Stream Gradient Local,Temperature Local,Temperature Upstream,Precipitation Local,Precipitation Upstream,Potential Evap Local,Potential Evap Upstream,Actual Evap Local,Actual Evap Upstream,Cropland Extent Local,Cropland Extent Upstream,Pasture Extent Local,Pasture Extent Upstream,Wetland All Local,Wetland All Upstream,Wetland Land Local,Wetland Land Upstream,Population Local,Population Upstream,Urban Extent Local,Urban Extent Upstream,Road Density Local,Road Density Upstream,Human Footprint Local,Human Footprint Upstream,Human Dev Index Local,HYBAS_ID
REC_03823,1.85,Nets,72.404,1732.0,305000000.0,305000000.0,903710.0,4722170.0,1282086.0,4234402.0,23.0,469.0,1.7000000000000002,10.0,1.5,26.400000000000002,24.0,2808.0,2704.0,1587.0,1515.0,1231.0,1257.0,52.0,46.0,3.0,3.0,1.0,0.0,0.0,0.0,305542.0,613536.0,48.0,7.0,3288.0,592.0,26.1,15.5,0.6970000000000001,5120031380.0
REC_03825,1.8,Nets,5.654,988.0,55000000.0,0.0,320319.99999999994,320319.99999999994,88353.0,88353.0,156.0,156.0,9.700000000000001,9.700000000000001,10.8,12.600000000000001,12.600000000000001,1405.0,1405.0,854.0,854.0,776.0,776.0,0.0,0.0,30.0,30.0,3.0,3.0,0.0,0.0,77989.0,77989.0,32.0,32.0,2155.0,2154.0,26.700000000000003,26.700000000000003,0.915,5120085110.0
REC_03828,1.79,Nets,5.047,977.0,0.0,0.0,404480.0,404480.0,171772.0,171772.0,173.0,173.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,25.5,25.5,1719.0,1719.0,1596.0,1596.0,1024.0,1024.0,35.0,35.0,2.0,2.0,0.0,0.0,0.0,0.0,107203.0,107203.0,32.0,32.0,1830.0,1830.0,22.8,22.8,0.586,4121567920.0
REC_03829,1.787,Nets,167.837,216.0,5422000000.0,0.0,901870.0,69191320.0,2585259.0,89599781.0,152.0,227.0,1.3,1.1,1.4000000000000001,4.2,3.9000000000000004,618.0,645.0,634.0,630.0,484.0,487.0,32.0,18.0,8.0,9.0,0.0,3.0,0.0,0.0,966.0,232506.0,0.0,0.0,93.0,94.0,10.5,7.300000000000001,0.766,2121077290.0
REC_03830,1.767,Nets,0.354,19.0,0.0,0.0,64330.0,201800.0,17039.0,35073.0,1314.0,1407.0,2.7,2.9000000000000004,3.1,16.0,15.3,433.0,443.0,1525.0,1484.0,367.0,375.0,1.0,0.0,96.0,97.0,8.0,2.0,0.0,0.0,5402.0,5490.0,3.0,1.0,472.0,341.0,10.600000000000001,8.4,0.622,1121641470.0
REC_03831,1.767,Nets,52.298,650.0,138000000.0,138000000.0,940210.0,6674740.0,1237784.0,4320979.0,857.0,1232.0,25.8,23.3,45.5,13.600000000000001,11.5,1100.0,1143.0,1026.0,948.0,870.0,854.0,14.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,26817.0,204533.0,4.0,1.0,164.0,144.0,10.8,9.200000000000001,0.739,4120736110.0
REC_03832,1.756,Nets,4.974,322.0,0.0,0.0,349940.0,881210.0,223577.0,389142.0,172.0,226.0,0.0,0.9,0.0,9.0,8.9,1015.0,1048.0,881.0,893.0,713.0,730.0,28.0,16.0,15.0,7.0,100.0,55.0,0.0,0.0,0.0,148478.0,0.0,22.0,4.0,2713.0,0.0,15.700000000000001,0.925,7120479880.0
REC_03833,1.732,Nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC_03834,1.707,Nets,1735.063,242.0,15308000000.0,0.0,1975230.0,487903360.0,10074243.0,642253188.0,1164.0,1393.0,2.2,3.3000000000000003,0.4,22.1,20.8,1331.0,1198.0,1687.0,1621.0,1126.0,978.0,43.0,19.0,26.0,28.0,47.0,31.0,0.0,6.0,98020.0,45908883.0,49.0,7.0,164.0,273.0,11.700000000000001,8.200000000000001,0.493,1122079420.0
REC_03835,1.7,Nets,0.0,5.0,0.0,0.0,14200.0,14200.0,1517.0,1517.0,419.0,419.0,3.3000000000000003,3.3000000000000003,4.5,10.600000000000001,10.600000000000001,152.0,152.0,1007.0,1007.0,141.0,141.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0,0.0,116.0,116.0,3.3000000000000003,3.3000000000000003,0.8320000000000001,6121353750.0
REC_03837,1.7,Pumps,2.061,116.0,50000000.0,50000000.0,180159.99999999997,544240.0,81734.0,177770.0,915.0,1269.0,6.7,10.200000000000001,10.0,11.600000000000001,9.600000000000001,461.0,555.0,1018.0,961.0,396.0,474.0,28.0,12.0,9.0,8.0,0.0,0.0,0.0,0.0,1133.0,1789.0,0.0,0.0,405.0,300.0,7.5,4.800000000000001,0.864,2120626650.0
REC_03839,1.674,Nets,9.64,464.0,12000000.0,0.0,288130.0,1276750.0,172755.0,608556.0,0.0,9.0,0.1,0.30000000000000004,0.1,9.4,9.5,793.0,780.0,694.0,705.0,544.0,548.0,19.0,17.0,56.0,39.0,6.0,6.0,0.0,0.0,39409.0,345244.0,35.0,39.0,1940.0,2433.0,27.5,29.700000000000003,0.921,2120382960.0
REC_03840,1.61,Nets,17.358,417.0,50000000.0,0.0,697930.0000000001,2731860.0,655402.0,1369200.0,20.0,33.0,0.4,0.7000000000000001,0.6000000000000001,22.3,22.1,1219.0,1325.0,1465.0,1523.0,1032.0,1122.0,3.0,14.0,6.0,20.0,38.0,37.0,38.0,37.0,246104.0,618432.0,93.0,29.0,11086.0,2954.0,37.6,25.400000000000002,0.892,7120045140.0
REC_03842,1.6,Nets,17.358,417.0,50000000.0,0.0,697930.0000000001,2731860.0,655402.0,1369200.0,20.0,33.0,0.4,0.7000000000000001,0.6000000000000001,22.3,22.1,1219.0,1325.0,1465.0,1523.0,1032.0,1122.0,3.0,14.0,6.0,20.0,38.0,37.0,38.0,37.0,246104.0,618432.0,93.0,29.0,11086.0,2954.0,37.6,25.400000000000002,0.892,7120045140.0
REC_03845,1.6,Nets,196.215,1001.0,1533000000.0,0.0,1941550.0,24154670.0,5080531.0,32603510.0,4.0,43.0,0.30000000000000004,1.0,0.2,27.400000000000002,26.700000000000003,1864.0,2125.0,1605.0,1619.0,1139.0,1206.0,48.0,28.0,1.0,1.0,25.0,1.0,17.0,0.0,1936515.0,5255385.0,98.0,21.0,1423.0,644.0,38.400000000000006,16.7,0.683,4121150120.0
REC_03846,1.6,Nets,9.21,1721.0,0.0,0.0,512560.0,512560.0,237891.0,237891.0,15.0,15.0,0.5,0.5,0.9,26.3,26.3,2660.0,2660.0,1560.0,1560.0,1184.0,1184.0,53.0,53.0,21.0,21.0,7.0,7.0,0.0,0.0,376990.0,376990.0,72.0,72.0,2895.0,2895.0,27.900000000000002,27.900000000000002,0.6970000000000001,5120031360.0
REC_03847,1.59,Nets,17.358,417.0,50000000.0,0.0,697930.0000000001,2731860.0,655402.0,1369200.0,20.0,33.0,0.4,0.7000000000000001,0.6000000000000001,22.3,22.1,1219.0,1325.0,1465.0,1523.0,1032.0,1122.0,3.0,14.0,6.0,20.0,38.0,37.0,38.0,37.0,246104.0,618432.0,93.0,29.0,11086.0,2954.0,37.6,25.400000000000002,0.892,7120045140.0
REC_03848,1.59,Nets,32.512,608.0,138000000.0,138000000.0,707810.0000000001,3994300.0,680490.0,2235361.0,762.0,1279.0,21.400000000000002,24.200000000000003,37.9,14.0,11.3,1038.0,1139.0,1057.0,942.0,849.0,841.0,8.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,31906.0,117720.0,7.0,2.0,154.0,117.0,11.700000000000001,8.5,0.739,4120730690.0
REC_03849,1.58,Nets,276.288,38.0,16975000000.0,16367000000.0,1405660.0,268707770.0,4623492.0,276729656.0,6.0,668.0,0.1,6.7,0.7000000000000001,12.5,9.5,542.0,496.0,1030.0,1045.0,464.0,426.0,5.0,39.0,0.0,33.0,0.0,1.0,0.0,1.0,2796136.0,104107977.0,100.0,24.0,7236.0,503.0,39.6,18.5,0.844,4121323370.0
